149	186
827	1108
594	1036
181	335
447	485
323	510
882	966
1149	1204
376	382
61	481
505	796
156	593
819	1183
849	1194
708	940
475	584
1094	1163
791	1015
14	1187
1156	1256
656	785
297	521
269	754
217	370
396	560
208	642
677	1133
285	492
328	566
49	242
781	1151
649	862
292	1164
175	358
84	499
33	185
721	983
655	687
317	359
112	326
65	843
529	766
1026	1041
976	1081
124	1017
978	1111
597	1063
456	735
278	315
174	586
606	690
101	444
44	413
631	880
150	1073
823	1184
81	223
385	1253
898	1123
221	1011
7	986
282	1085
255	1058
27	412
495	988
350	1075
678	719
89	556
822	1068
336	420
56	109
19	346
830	977
50	1119
373	786
697	1022
601	1142
745	1233
32	1258
97	384
423	1175
207	1205
964	1064
295	699
243	1201
123	973
163	435
461	496
909	1000
1051	1166
